Business Data Analyst - Modeling & Profiling,Career Infosystem,,,https://www.naukri.com/job-listings-business-data-analyst-modeling-profiling-career-infosystem-mumbai-8-to-12-years-221022901009,8-12 Yrs,Just Now,Not disclosed,Mumbai,"['Business Analyst', 'Business Data Analyst', 'Data Profiling', 'Data Modeling', 'Data Analytics']"
Immediate Openings For Data Analyst Role - Pondicherry Location Freshe,Rapid Care,3.5,(26 Reviews),https://www.naukri.com/job-listings-immediate-openings-for-data-analyst-role-pondicherry-location-freshe-rapid-care-transcription-private-limited-pondicherry-puducherry-0-to-1-years-210422006435,0-1 Yrs,10 Days Ago,"50,000 - 1,50,000 PA.",Pondicherry/Puducherry,[]
Associate/Senior Associate - Data Engineer / Data Analyst,Morgan Stanley,4.1,(592 Reviews),https://www.naukri.com/job-listings-associate-senior-associate-data-engineer-data-analyst-morgan-stanley-advantage-services-pvt-ltd-mumbai-2-to-5-years-121022500942,2-5 Yrs,9 Days Ago,Not disclosed,Mumbai,"['Data analysis', 'Data management', 'Analytical', 'Data quality', 'Risk management', 'IT operations', 'Portfolio management', 'Analytics']"
Urgent opening For the position of Assistant Manager Data Analyst,Genpact,4.0,(20800 Reviews),https://www.naukri.com/job-listings-urgent-opening-for-the-position-of-assistant-manager-data-analyst-genpact-india-private-limited-kolkata-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-1-to-5-years-111022007505,1-5 Yrs,10 Days Ago,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","['data analytics', 'advanced excel', 'business analysis', 'Tableau', 'exploratory data analysis', 'Power Bi', 'business consulting']"
Sr. Data Analyst,Congruex,4.1,(119 Reviews),https://www.naukri.com/job-listings-sr-data-analyst-congruex-asia-pacific-llp-mohali-6-to-8-years-310822000594,6-8 Yrs,1 Day Ago,"10,00,000 - 12,00,000 PA.",Temp. WFH - Mohali,[]
"Senior Data Analyst
",nurture.farm,3.9,(37 Reviews),https://www.naukri.com/job-listings-senior-data-analyst-nurture-farm-bangalore-bengaluru-3-to-8-years-260922004708,3-8 Yrs,1 Day Ago,Not disclosed,Bangalore/Bengaluru,['sql']
Executive - Data Analyst,Flipkart,4.2,(11295 Reviews),https://www.naukri.com/job-listings-executive-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-0-to-2-years-141022915152,0-2 Yrs,7 Days Ago,Not disclosed,Bangalore/Bengaluru,"['Data analysis', 'Automation', 'Business intelligence', 'Macros', 'Analytics', 'Excel', 'power bi', 'Stakeholder management']"
Data Analyst - Python/Artificial Intelligence,iMindYourBusiness,,,https://www.naukri.com/job-listings-data-analyst-python-artificial-intelligence-imindyourbusiness-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-0-to-2-years-221022900680,0-2 Yrs,Just Now,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru","['Data Analysis', 'VBA', 'C++', 'Python', 'SQL server', 'Advanced Excel', 'Artificial Intelligence', 'STEM']"
Data Analyst - Python/Artificial Intelligence,iMindYourBusiness,,,https://www.naukri.com/job-listings-data-analyst-python-artificial-intelligence-imindyourbusiness-kolkata-mumbai-hyderabad-secunderabad-lucknow-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-0-to-2-years-221022900667,0-2 Yrs,Just Now,Not disclosed,"Temp. WFH - Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR","['Python', 'VBA', 'C++', 'Advanced Excel', 'SQL server', 'Data Science', 'Artificial Intelligence', 'Data Analyst']"
Professional - MIS Executive/ Data Analyst,Acuity Knowledge Partners,3.8,(319 Reviews),https://www.naukri.com/job-listings-professional-mis-executive-data-analyst-acuity-knowledge-services-india-private-limited-gurgaon-gurugram-3-to-6-years-140922003057,3-6 Yrs,2 Days Ago,Not disclosed,Hybrid - Gurgaon/Gurugram,"['MIS Reporting', 'Data Management', 'Data Analysis']"
"Sr. Data Analyst (BI) - Adv Excel, VBA-Macros",IKS Health,3.5,(1199 Reviews),https://www.naukri.com/job-listings-sr-data-analyst-bi-adv-excel-vba-macros-inventurus-knowledge-solutions-private-limited-navi-mumbai-3-to-6-years-150922004058,3-6 Yrs,1 Day Ago,Not disclosed,Navi Mumbai,[]
"Analyst, Data Management & Quantitative Analysis",BNY Mellon,4.2,(2598 Reviews),https://www.naukri.com/job-listings-analyst-data-management-quantitative-analysis-bny-mellon-international-operations-india-chennai-0-to-2-years-201022503159,0-2 Yrs,1 Day Ago,Not disclosed,Chennai,"['Analyst', 'Data management', 'Analytical', 'Finance', 'Manager Technology', 'Representative', 'Quantitative analysis']"
Senior Business Data Analyst ( Notice Period: 30 Days),Atyeti,3.8,(37 Reviews),https://www.naukri.com/job-listings-senior-business-data-analyst-notice-period-30-days-atyeti-it-services-private-limited-pune-5-to-10-years-151022005412,5-10 Yrs,2 Days Ago,Not disclosed,Hybrid - Pune,[]
Urgent Requirement Business Analyst / Data Analyst | Cars24 | Gurgaon,Cars24,3.7,(1926 Reviews),https://www.naukri.com/job-listings-urgent-requirement-business-analyst-data-analyst-cars24-gurgaon-cars24-services-private-limited-gurgaon-gurugram-delhi-ncr-5-to-10-years-171022005612,5-10 Yrs,4 Days Ago,"7,00,000 - 12,00,000 PA.","Gurgaon/Gurugram, Delhi / NCR",[]
Job Opportunity For Data Analyst Graduates,Ajanta Tech Agro,,,https://www.naukri.com/job-listings-opportunity-for-data-analyst-graduates-ajanta-tech-agro-private-limited-pune-0-to-1-years-170122005498,0-1 Yrs,6 Days Ago,"1,00,000 - 1,50,000 PA.",Pune,[]
Sr Data Analyst Il,IHS Markit,4.1,(526 Reviews),https://www.naukri.com/job-listings-sr-data-analyst-il-ihs-markit-gurgaon-gurugram-2-to-5-years-211022500678,2-5 Yrs,1 Day Ago,Not disclosed,Gurgaon/Gurugram,[]
Sr. Product Analyst / Sr. Business Analyst / Sr. Data Analyst,Fareportal,3.3,(561 Reviews),https://www.naukri.com/job-listings-sr-product-analyst-sr-business-analyst-sr-data-analyst-fareportal-india-pvt-ltd-delhi-ncr-4-to-8-years-171022008659,4-8 Yrs,4 Days Ago,Not disclosed,Temp. WFH - Delhi / NCR,"['data analysis', 'SQL', 'Python']"
Urgent Requirement Data Analyst // Cars24,Cars24,3.7,(1926 Reviews),https://www.naukri.com/job-listings-urgent-requirement-data-analyst-cars24-cars24-services-private-limited-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-9-years-171022003087,4-9 Yrs,4 Days Ago,"4,00,000 - 7,50,000 PA.","Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",[]
Reference Data Analyst,Deutsche Bank,4.2,(2163 Reviews),https://www.naukri.com/job-listings-201022500922,2-5 Yrs,1 Day Ago,Not disclosed,Bangalore/Bengaluru,[]
Senior Data Analyst,Xpressbees (BusyBees Logistics Solutions Pvt. Ltd.),4.0,(1139 Reviews),https://www.naukri.com/job-listings-senior-data-analyst-xpressbees-busybees-logistics-solutions-pvt-ltd-pune-4-to-9-years-221022900241,4-9 Yrs,Few Hours Ago,Not disclosed,Pune,"['Data Analysis', 'R', 'Spotfire', 'Tableau', 'SQL', 'data normalization', 'statistics']"
